date,category_id,group_id,productId,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
2026-06-29,1,1,15152,0.01,0.25,3.0,0.09,,Normal
2026-06-29,1,1,15152,0.39,0.58,2.99,0.52,0.52,Foil
2026-06-29,1,1,15153,0.04,0.25,10.21,0.21,,Normal
2026-06-29,1,1,15153,2.71,4.05,13.22,7.84,,Foil
2026-06-29,1,1,15154,0.06,0.3,2.99,0.2,0.08,Normal
2026-06-29,1,1,15154,0.23,0.5,2.07,0.25,,Foil
2026-06-29,1,1,15155,0.08,0.3,1.59,0.15,,Normal
2026-06-29,1,1,15155,0.61,1.19,9.99,0.79,,Foil
2026-06-29,1,1,15156,0.02,0.27,1.53,0.09,0.04,Normal
2026-06-29,1,1,15156,0.39,0.5,0.89,0.47,0.4,Foil
2026-06-29,1,1,15157,2.39,3.91,16.0,3.91,,Normal
2026-06-29,1,1,15157,23.07,37.34,74.99,50.0,,Foil
2026-06-29,1,1,15158,0.04,0.25,1.79,0.17,,Normal
2026-06-29,1,1,15158,0.26,0.52,1.56,,,Foil
2026-06-29,1,1,15159,0.05,0.29,1.99,0.21,,Normal
2026-06-29,1,1,15159,0.36,0.69,1.41,0.66,,Foil
2026-06-29,1,1,15160,0.11,0.36,1.72,0.31,,Normal
2026-06-29,1,1,15160,5.31,7.65,9.99,5.21,,Foil
2026-06-29,1,1,15161,0.01,0.25,3.0,0.07,,Normal
2026-06-29,1,1,15161,0.25,0.45,1.2,0.4,0.27,Foil
2026-06-29,1,1,15162,0.01,0.25,4.68,0.02,,Normal
2026-06-29,1,1,15162,0.15,0.49,1.95,0.25,0.35,Foil
2026-06-29,1,1,15163,0.18,0.5,5.0,0.48,0.39,Normal
2026-06-29,1,1,15163,41.67,49.92,70.15,6.0,,Foil
2026-06-29,1,1,15164,0.03,0.25,7.88,0.1,,Normal
2026-06-29,1,1,15164,0.86,0.94,3.25,0.89,,Foil
2026-06-29,1,1,15165,0.01,0.25,7.86,0.08,0.01,Normal
2026-06-29,1,1,15165,0.24,0.44,0.77,0.24,,Foil
2026-06-29,1,1,15166,0.06,0.25,3.0,0.16,,Normal
2026-06-29,1,1,15166,1.3,6.65,29.99,3.41,,Foil
2026-06-29,1,1,15167,3.68,5.88,8.4,5.75,,Normal
2026-06-29,1,1,15167,15.1,19.0,24.99,19.0,,Foil
2026-06-29,1,1,15168,0.03,0.29,1.62,0.13,,Normal
2026-06-29,1,1,15168,0.5,0.95,4.42,0.5,,Foil
2026-06-29,1,1,15169,1.5,2.07,9.98,1.99,1.84,Normal
2026-06-29,1,1,15169,29.55,69.55,111.8,26.86,83.35,Foil
2026-06-29,1,1,15170,0.25,0.49,3.0,0.44,,Normal
2026-06-29,1,1,15170,10.77,13.49,16.52,17.5,,Foil
2026-06-29,1,1,15171,1.18,1.89,5.04,1.77,,Normal
2026-06-29,1,1,15172,0.05,0.3,1.79,0.25,0.06,Normal
2026-06-29,1,1,15172,0.2,0.53,0.92,,0.25,Foil
2026-06-29,1,1,15173,0.04,0.29,1.58,0.21,,Normal
2026-06-29,1,1,15173,1.02,1.6,96.17,1.26,96.16,Foil
2026-06-29,1,1,15174,0.01,0.26,3.0,0.13,0.17,Normal
2026-06-29,1,1,15174,1.44,1.5,2.0,1.4,,Foil
2026-06-29,1,1,15175,0.05,0.38,3.0,0.35,0.18,Normal
2026-06-29,1,1,15175,0.31,5.06,22.48,0.32,,Foil
2026-06-29,1,1,15176,0.1,0.3,1.7,0.31,0.2,Normal
2026-06-29,1,1,15176,0.34,0.99,2.22,0.42,,Foil
2026-06-29,1,1,15177,0.06,0.3,1.7,0.4,0.1,Normal
